,text
2374,slideshow: fed times readers on the most important events of the past half-century. #fedtimes50 http://ow.ly/whasp 
2375,. calls #it transformation an 'exponential storm.' find out what he means http://bit.ly/davidbraywebcast …pic.twitter.com/rrxcyfcnwp
2376,slideshow: fed times readers on the most important events of the past half-century. #fedtimes50 http://ow.ly/whaol 
2377,franklin reeder remembers government in the '60s. #fedtimes50 http://ow.ly/wh8mp 
2378,is there an alternative to 'do more with less?' 's borras thinks so. http://ow.ly/wh5cl pic.twitter.com/kxhvh4t8yy
2379,is there a better approach to tight funds than 'do more with less?' at kearney's borras thinks so. http://ow.ly/wh5je 
2380,slideshow: fed times readers on the most important events of the past half-century. #fedtimes50 http://ow.ly/whakf 
2381,senate seeking contractors to boost proactive cyber squad http://ow.ly/39n5za 
2382,a better idea than 'do more with less' http://ow.ly/39mpfs 
2383,will a new approach to #it management save you money? how much? learn from  http://bit.ly/davidbraywebcast …pic.twitter.com/bcyqcluaft
2384,available now: secrets of it transformation http://ow.ly/39l7mw 
2385,fehbp sees 600k in transactions during 2015 open season http://ow.ly/39kt71 
2386,non-profit files foia for carter emails http://ow.ly/39kwnk 
2387,now on-demand: maximizing federal it with fewer resources/budget   http://bit.ly/davidbraywebcast …pic.twitter.com/m0zlxc0hgu
2388,"media and the feds: 50 years of civility, 50 years of contention http://ow.ly/39kfaf "
2389,army's cyber center expands in georgia http://ow.ly/wcuzd 
2390,fort gordon emerging as army cyber hub http://ow.ly/39ijxp 
2391,a half-century of whirlwind change. #federaltimes50 http://ow.ly/vvvrq 
2392,category management directive calls for acquisition rethink. http://ow.ly/wcjqv 
2393,final draft of standards for highly sensitive data in the cloud released http://ow.ly/39injz 
2394,‘an ex-omb wonk’ looks back at federal office life in the '60s http://ow.ly/39i4d2 
2395,dod byod lags as pentagon wi-fi moves forward http://ow.ly/31eicz 
2396,"how consolidation, reorg are shaping a better gsa http://ow.ly/31e1ao "
2397,opm director archuleta resigns http://ow.ly/31dhtg 
2398,transforming the citizen experience  [whitepaper http://bit.ly/citizenexperience …]pic.twitter.com/0iffhdiuok
2399,archuleta resigns.   http://bit.ly/1hsgjah pic.twitter.com/yem2swu98i
2400,out:   archuleta resigns. http://bit.ly/1hsgjah 
2401,dod byod lags as pentagon wifi moves forward http://ow.ly/31dyio 
2402,"meet jill aitoro, new editor of , in this video. also, 's 18f creating agile bpa.  http://ow.ly/piz9i "
2403,5 quick tips for better security http://ow.ly/31d2hj 
2404,new cyber council backs info-sharing legislation.  http://fedtimes.ly/1mc27r5 
2405,how a 'serious it problem' in government could get worse in 2016 http://ow.ly/31blfy 
2406,"opm hack hit potentially millions of troops, vets http://ow.ly/31bso7 "
2407,archuleta says she won't resign in wake of opm breach http://ow.ly/31bjsm 
2408,22 million: opm releases its new data breach tally http://ow.ly/31bbgs 
2409,22 million: opm releases its new tally http://ow.ly/31b1ln 
2410,system outage knocks out mspb e-appeal app http://ow.ly/31agik 
2411,johnson calls for broad effort to improve cybersecurity http://ow.ly/31akqz 
2412,federal employees: brace for pension contribution hikes. http://ow.ly/pizff 
2413,"meet jill aitoro, new editor of federal times, in this video. also, gsa's 18f creating agile bpa.  http://ow.ly/piz7r "
2414,"meet jill aitoro, new editor of , in this video. also, 's 18f creating agile bpa.  http://ow.ly/piz3k "
2415,federal employees: brace for pension contribution hikes. http://ow.ly/pizdc 
2416,union lawsuit claims opm violated constitutional rightshttp://ow.ly/317xjb 
2417,federal employees: brace for pension contribution hikes.http://ow.ly/pizbp 
2418,"meet jill aitoro, new editor of , in this video. also, 's 18f creating agile bpa.  http://ow.ly/piz2d "
2419,bill gives seasonal workers credit toward full-time jobs http://ow.ly/317zge 
2420,how big of a pay raise should feds expect in 2016? http://ow.ly/317ppz 
2421,federal employees: brace for pension contribution hikes. http://ow.ly/piza8 
2422,opm hiring it specialists to lead legacy migration http://ow.ly/317f1q 
2423,government's next steps for tapping big data's potential http://ow.ly/3173jj 
2424,"meet jill aitoro, new editor of , in this video. also, 's 18f creating agile bpa.  http://ow.ly/piyz0 "
2425,federal employees: brace for pension contribution hikes. http://ow.ly/pizyz 
2426,how agencies can better serve their customers. http://ow.ly/pj1kj 
2427,this week in federal times: meet our new editor http://ow.ly/3152yc 
2428,delivering better citizen service. http://www.federaltimes.com/story/government/solutions-ideas/2015/07/06/citizen-service-modern-world/29771603/ …
2429,federal employees: brace for pension contribution hikes. http://ow.ly/pizwh 
2430,"meet jill aitoro, new editor of , in this video. also, 's 18f creating agile bpa.  http://ow.ly/piyrs "
2431,new cybersecurity council to push info sharing legislation http://ow.ly/314awz 
2432,"18f style guide pushes clear, accessible writing for web http://ow.ly/314nka "
2433,the fed gov has to step up its customer engagement after aca's website failure & va wait time scandal [whitepaper http://bit.ly/citizenexperience …]
2434,the tally: opm to reveal number compromised in data beach http://ow.ly/313dmw 
2435,top dod adviser will be acting army undersecretary http://ow.ly/311wi4 
2436,feds should watch out for pension contribution hikes http://ow.ly/311fcf 
2437,no indication of walter reed medical center shooting http://ow.ly/31175c 
2438,search underway at walter reed medical center http://ow.ly/310uhb 
2439,hang on to your security clearance formshttp://ow.ly/310yqm 
2440,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qwl 
2441,cios need holistic view for fitara to have maximum effect http://ow.ly/310amx 
2442,dod blends it orgs within .  http://ow.ly/p0rc1 
2443,. touts cyber improvements under #katherinearchuleta. http://ow.ly/onta9 
2444,"""agencies have to reinvent themselves from the customer's perspective.""   [whitepaper http://bit.ly/citizenexperience …]"
2445,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qul 
2446,logins for government sites aren't hard to find online. http://ow.ly/oni14 
2447,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qt1 
2448, lawsuit vs  : what took so long? http://ow.ly/p0r9f 
2449,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qqq 
2450,"opm blocks gmail, facebook under new web restrictions http://ow.ly/30s4er "
2451,"new va cio confirmed, starts work monday http://ow.ly/30rumd "
2452,former gsa official gets prison in conference scandal http://ow.ly/30rmak 
2453,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qoj 
2454,navy yard shooting scare deemed false alarm http://ow.ly/30rpli 
2455,active shooter reported at washington navy yard http://ow.ly/30rc29 
2456, lawsuit vs  : what took so long? http://ow.ly/p0r6w 
2457,afge lawsuit: what took so long? http://ow.ly/p0qeo 
2458,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qky 
2459, lawsuit vs  : what took so long? http://ow.ly/p0r12 
2460,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qdm 
2461,nist opens mobile devices to piv card authentication http://ow.ly/30pjvr 
2462,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qjp 
2463, lawsuit vs  : what took so long? http://ow.ly/p0qyo 
2464,opm breach phishing scam targets feds http://ow.ly/30owrn 
2465,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qhl 
2466,"2015 -- a transformative year for the ""citizen experience"" in federal government? [whitepaper http://bit.ly/citizenexperience …]"
2467,. 18f moves to next stage of bpa building. http://ow.ly/onirg 
2468,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qmz 
2469,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qff 
2470, lawsuit vs  : what took so long? http://ow.ly/p0qwa 
2471,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0q8s 
2472,defense cyber strategy pushes power http://ow.ly/30ny0e 
2473,feds worried insurance doesn't cover opm breach http://ow.ly/30n5hj 
2474,. lawsuit vs  : what took so long? http://ow.ly/p0qqt 
2475,this week in federal times feds worried insurance doesn’t cover opm breach http://ow.ly/30murh 
2476,are feds really insured in opm breach? some question language in benefits summary. http://ow.ly/p0qck 
2477,pentagon prepares to launch new shared it services http://ow.ly/30m8bj 
2478,could opm have prevented the breach? http://ow.ly/30lyxt 
2479,cybersecurity a hidden aspect of fitara reform http://ow.ly/30lr6x 
2480,omb hires senior adviser on privacy issues http://ow.ly/30lhlv 
2481,online trust alliance: federal honor roll http://ow.ly/30ly5q 
2482,the afge lawsuit over opm hack? not a shocker http://ow.ly/30lmtj 
2483,union sues opm over data breach http://ow.ly/30kxar 
2484,autism coverage spotty under #fehbp. http://ow.ly/oqfuv 
2485,opm suspends background check app to fix security hole http://ow.ly/30j2fu 
2486,. 18f moves to next stage of bpa building. http://ow.ly/oniq2 
2487,myhealthevet cloud-based portal redesign underway http://ow.ly/30iijz 
2488,autism coverage spotty under #fehbp.http://ow.ly/oqft0 
2489,. 18f moves to next stage of bpa building. http://ow.ly/onin6 
2490,improving the federal customer experience means regaining confidence/optimism about the future of the us [whitepaper http://bit.ly/citizenexperience …]
2491,logins for government sites aren't hard to find online. http://ow.ly/onhzs 
2492,. touts cyber improvements under #katherinearchuleta. http://ow.ly/ont7l 
2493,autism coverage spotty under #fehbp. http://ow.ly/oqfqt 
2494,. touts cyber improvements under #katherinearchuleta. http://ow.ly/ont5d 
2495,autism coverage spotty under #fehbp. http://ow.ly/oqfny 
2496,. touts cyber improvements under #katherinearchuleta. http://ow.ly/ont33 
2497,. 18f moves to next stage of bpa building. http://ow.ly/oniii 
2498,autism coverage spotty under #fehbp. http://ow.ly/oqflk 
2499,how much fault does opm have for data breach? http://ow.ly/okch8 
2500,logins for government sites aren't hard to find online. http://ow.ly/onhxp 
2501,more win-t work for . http://ow.ly/onhz2 
2502,. 18f moves to next stage of bpa building. http://ow.ly/oniku 
2503,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohrah 
2504,autism coverage spotty under #fehbp. http://ow.ly/oqfzx pic.twitter.com/tijqxqlxkl
2505,. touts cyber improvements under #katherinearchuleta. http://ow.ly/ont12 
2506,where federal health insurance fails autistic children http://ow.ly/30btaf 
2507,where federal health insurance fails autistic children #autismawareness http://www.federaltimes.com/story/government/management/compensation/2015/06/26/fehbp-autism/29176535/ …
2508,how much fault does opm have for data breach? http://ow.ly/okcen 
2509,logins for government sites aren't hard to find online. http://ow.ly/onhvf 
2510,how much fault does opm have for data breach? http://ow.ly/okcwq 
2511,. touts cyber improvements under #katherinearchuleta. http://ow.ly/onsyo 
2512,is opm to blame for data breach? http://ow.ly/okcbj 
2513,. touts cyber improvements under #katherinearchuleta. http://ow.ly/onswg 
2514,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohr34 
2515,logins for government sites aren't hard to find online. http://ow.ly/onhtq 
2516,how much fault does opm have for data breach? http://ow.ly/okcuz 
2517,how much fault does opm have for data breach? http://ow.ly/okcbt 
2518,lawmakers unimpressed with opm's cyber action report http://ow.ly/30yv5a 
2519,contractor breach gave hackers keys to opm data http://ow.ly/30ykaq 
2520,. 18f moves to next stage of bpa building. http://ow.ly/onibc 
2521,. touts cyber improvements under #katherinearchuleta. http://ow.ly/onsnc 
2522,18f builds agile contract for agile development http://ow.ly/30yjjc 
2523,how much fault does opm have for data breach? http://ow.ly/okcsh 
2524,logins for government sites aren't hard to find online. http://ow.ly/onhok 
2525,government logins widely available online http://ow.ly/30xtgn 
2526,why agencies should hire a chief customer officer [whitepaper http://bit.ly/citizenexperience …]
2527,managing the biggest program of all: acquisition http://ow.ly/30xj6x 
2528,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohr7u 
2529,how much fault does opm have for data breach? http://ow.ly/okcou 
2530,how much fault does opm have for data breach? http://ow.ly/okcmt 
2531,army reserves train the next generation's cyber force http://ow.ly/30vmrw 
2532,how much fault does opm have for data breach? http://ow.ly/okchn 
2533,
2534,keys to secure cloud migration http://ow.ly/30uorp 
2535,lawmaker: earlier breach led to massive opm hack http://ow.ly/30upfk 
2536,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohqyx 
2537,"opm fires back at hack criticism, vows further reform http://ow.ly/30u8ij "
2538,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohqsk 
2539,opm's hackers got the digital keys in an earlier breach. http://ow.ly/ohqk6 
2540,contractor breach gave hackers a way in to opm data http://ow.ly/30rffb 
2541,83% of citizens surveyed want to see government citizen experience improved [whitepaper http://bit.ly/citizenexperience …]
2542,contractor breach offered backdoor to opm data http://ow.ly/30rl5x 
2543,get the latest on the opm data breach http://ow.ly/30ny4b 
2544,9 key steps to cyber-preparation http://ow.ly/30nda7 
2545,opm's encryption failure http://ow.ly/30jhcc 
2546,citizen satisfaction with federal government services has declined for the 2nd year in a row [whitepaper http://bit.ly/citizenexperience …]
2547,"opm breach a failure on encryption, detection http://ow.ly/30g7ea "
2548,senators push to prevent federal charge card abusehttp://ow.ly/30fwop 
2549,senators push to prevent federal charge card abuse http://ow.ly/30fp6u 
2550,strategies for building a customer-centric government culture  [whitepaper http://bit.ly/citizenexperience …]
2551,congress members call for #archuleta's resignation . #databreach. http://ow.ly/osyqh 
2552,"senate advances defense bill, but obama veto looms http://ow.ly/30difi "
2553,congress members call for #archuleta's resignation . #databreach. http://ow.ly/osyl8 
2554,could opm have prevented the breach? http://ow.ly/30cpyd 
2555,feds and marijuana: don't smoke 'em if you got 'em http://ow.ly/30cekp 
2556,senate advances defense authorization bill; veto looms http://ow.ly/30cuns 
2557,bill cracks down on retirement benefits fraud. #federalworkforce http://ow.ly/omfjm 
2558,privacy: the weak link for video security http://ow.ly/30cfqa 
2559,congress members call for #archuleta's resignation . #databreach. http://ow.ly/osyj3 
2560,congress members call for #archuleta's resignation . #databreach. http://ow.ly/osyni 
2561,breach compromises more than first thought. http://ow.ly/omf1b 
2562,congress members call for archuleta's resignation. http://ow.ly/osybn 
2563,bill cracks down on retirement benefits fraud. #federalworkforcehttp://ow.ly/omfml 
2564,congress members call for #archuleta's resignation . #databreach. http://ow.ly/osymh 
2565,video: it overhaul at the fcc http://ow.ly/309xaw 
2566,lawmakers demand opm chief's resignation http://ow.ly/309j6l 
2567,cloud could get its own gsa contract http://ow.ly/309ggl 
2568,lawmakers want opm chief to resign after massive hacks http://ow.ly/308vws 
2569,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepzi 
2570,"""the hobbit has not left the shire"" when it comes to agencies on the customer-service continuum [whitepaper http://bit.ly/citizenexperience …]"
2571,"bill aims to cut agency hiring time, boost recruiting http://ow.ly/308xlv "
2572,feds get new guide for lgbt employee rights.. http://ow.ly/nqld7 
2573,breach compromises more than first thought. http://ow.ly/omety 
2574,the opm hack risk that nobody is talking about http://ow.ly/3065yh 
2575,lawmakers criticize opm leaders over breach http://ow.ly/305ymk 
2576,lawmakers grill feds on failures in opm breach http://ow.ly/305pkt 
2577,"hud chief: former cfo set ""gold standard"" for service http://ow.ly/305co4 "
2578,timeline: what happened when in opm's data breach http://ow.ly/305pee 
2579,the risk from the opm hack that nobody is talking about http://ow.ly/305ekm 
2580,breach compromises more than first thought. http://ow.ly/omezt 
2581,this week in federal times: data act summit http://ow.ly/304noy 
2582,this week in federal times: data act summit http://ow.ly/304xpo 
2583,federal union: opm hackers took everything in breach http://ow.ly/304fas 
2584,bill cracks down on retirement benefits fraud. #federalworkforce http://ow.ly/omfe6 
2585,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepp4 
2586,new bill aims to deter stealing from federal retirees http://ow.ly/3022bp 
2587,transforming the citizen experience  [whitepaper http://bit.ly/citizenexperience …]pic.twitter.com/pdb8lsh4wt
2588,feds on '30-day sprint' to better cybersecurity http://ow.ly/30199s 
2589,second opm hack exposed highly personal background info http://ow.ly/300lsv 
2590,how chief data officers can improve agency decisions http://ow.ly/300lwu 
2591,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepmu 
2592,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepi8 
2593,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepr4 
2594,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepkk 
2595,army reserves train the next generation's cyber force http://ow.ly/2zvdwy 
2596,the fed gov has to step up its customer engagement after aca's website failure & va wait time scandal [whitepaper http://bit.ly/citizenexperience …]
2597,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepnc 
2598,abc reports opm hack happened a year ago. http://ow.ly/ocv5c 
2599,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oepdj 
2600,"gsa wants more rooftop solar panels in washington, d.c.http://ow.ly/2zsocs "
2601,senators push to reform federal program management http://ow.ly/2zsdxz 
2602,the opm hack: just how bad is it? join the linkedin discussion. http://ow.ly/oeplz 
2603,"after reorg, dla targets consolidationhttp://ow.ly/2zswmw "
2604,new va app could change future of veteran care http://ow.ly/2zshks 
2605,just how bad is it? join the linkedin discussion. http://ow.ly/oepar 
2606,. wasn't the only attempted hacker target. http://ow.ly/o6dxb 
2607,report: opm hack went undetected for a year http://ow.ly/2zpusq 
2608,senate axes tsp tax penalty for retired federal officers http://ow.ly/2zpime 
2609,omb finalizes fitara guidance http://ow.ly/2zorz1 
2610,"""agencies have to reinvent themselves from the customer's perspective.""   [whitepaper http://bit.ly/citizenexperience …]"
2611,. wasn't the only attempted hacker target. http://ow.ly/o6dt7 
2612,update: opm data breach hotline now has live operators http://ow.ly/2zmj7t 
2613,. wasn't the only attempted hacker target. http://ow.ly/o6dpv 
2614,eis will take a little longer. http://ow.ly/ncgo8 
2615,sorry feds: no real people on opm's data breach hotline http://ow.ly/2zlfmu 
2616,agile beyond the buzz http://ow.ly/2zliad 
2617,. wasn't the only attempted hacker target. http://ow.ly/o6dml 
2618,opm wasn't the only attempted hacker target. http://ow.ly/o6dcd 
2619,. wasn't the only attempted hacker target. http://ow.ly/o6dja 
2620,"after opm breach, omb requires tighter security http://ow.ly/2zhllt "
2621,federal times news update: what should feds do after the opm data breach http://ow.ly/2zhekk 
2622,gsa looking hard at broad new cloud contract vehicle http://ow.ly/2zhlmc 
2623,new rules for uavs from  http://ow.ly/nspxk 
2624,why agencies should hire a chief customer officer [whitepaper http://bit.ly/citizenexperience …]
2625,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlzb 
2626,lawmaker to opm: how will you prevent another breach? http://ow.ly/2zf7bd 
2627,breach happened long before  found it. http://ow.ly/nwrhj 
2628,this week in federal times: what is going on with phased retirement http://ow.ly/2zeh2q 
2629,breach happened long before opm found it. http://ow.ly/nwrfn 
2630,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlyc 
2631,"""the hobbit has not left the shire"" when it comes to agencies on the customer-service continuum [whitepaper http://bit.ly/citizenexperience …]"
2632,breach happened long before  found it. http://ow.ly/nwrdm 
2633,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlww 
2634,breach happened long before  found it. http://ow.ly/nwrbc 
2635,breach happened long before  found it. http://ow.ly/nwra2 
2636,breach happened long before  found it. http://ow.ly/nwryq 
2637,breach happened long before  found it. http://ow.ly/nwrv5 
2638,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqluq 
2639,breach: federal data intrusions of 2015 http://ow.ly/2zxvsq 
2640,what does opm's data breach mean for you? http://ow.ly/2zxsar 
2641,massive opm data breach went undetected for months http://ow.ly/2zxgum 
2642,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlly 
2643,citizen satisfaction with federal government services has declined for the 2nd year in a row [whitepaper http://bit.ly/citizenexperience …]
2644,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlks 
2645,lawmakers fault opm over massive cyber breach http://ow.ly/2zwehj 
2646,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlje 
2647,navy's virtualization goal: flexibility http://ow.ly/2zwie7 
2648,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlfy 
2649,opm hack could affect 4 million people http://ow.ly/2zuuik 
2650,hhs launches new beta for http://healthdata.gov  http://ow.ly/2zugvj 
2651,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nqlh7 
2652,report: nsa program targets americans' internet traffic http://ow.ly/2zulyo 
2653,commerce ig retires amid retaliation allegations http://ow.ly/2zuglx 
2654,commerce ig retires amidst retaliation allegations http://ow.ly/2zu2ul 
2655,gsa moving forward on broad new cloud contract vehicle http://ow.ly/2ztwfk 
2656,feds get new guide for lgbt employee rights. http://ow.ly/nqlck 
2657,feds get new guide for #lgbt employee rights. #lgbtrights. http://ow.ly/nql4u 
2658,agencies release new guide on rights of lgbt feds http://ow.ly/2zrynq 
2659,cdm phase ii set to kick off by july http://ow.ly/2zrk28 
2660,83% of citizens surveyed want to see government citizen experience improved [whitepaper http://bit.ly/citizenexperience …]
2661,acting cio: navy making strides in commercial it adoption http://ow.ly/2zpuqb 
2662,congress calls for reform of small aircraft policy http://ow.ly/2zp0ir 
2663,enterprise view: mobility and the military health system http://ow.ly/2zof2b 
2664,acquisition innovation part 2: leadership http://ow.ly/2zo5fc 
2665,eis will take a little longer. http://ow.ly/ncgjm 
2666,dhs watchdog smuggled fake bombs past tsa screeners http://ow.ly/2znjwk 
2667,create a two-way network http://ow.ly/2zm2lq 
2668,lawmakers to obama: appoint permanent interior ig http://ow.ly/2zlaed 
2669,enterprise view: data center consolidation http://ow.ly/2zlmpr 
2670,eis will take a little longer. http://ow.ly/ncgfc 
2671,new guidance offers roadmap for securing mobile apps http://ow.ly/2zl0ag 
2672,opm proposes expanding locality pay to 13 new areas http://ow.ly/2zkjk0 
2673,"2015 -- a transformative year for the ""citizen experience"" in federal government? [whitepaper http://bit.ly/citizenexperience …]"
2674,eis will take a little longer. http://ow.ly/ncfxp 
2675,dod issues cybersecurity discipline guidance http://fedtim.es/3calqw 
2676,"get the latest on #usaid, by the numbers: http://fedtimes.ly/1p2r9ob pic.twitter.com/rz0rsz7odz"
2677,concerns over the #zika virus have prompted alternative work plans for federal employees abroad. http://fedtimes.ly/1pbguc2  #opm #zikavirus
2678,protecting small business with the rise of contract vehicles http://fedtim.es/3cadg4 
2679,did you miss #rsac? catch up on all the breaking industry news here -- http://bit.ly/rsaconf2016 pic.twitter.com/xlyqegjgiv
2680,what feds can learn at conferences like rsa http://fedtim.es/3c9dns 
2681,icymi: #dhs #cybersecurity official suzanne spaulding explains why she attends #rsac and what she learned there. https://youtu.be/f1kxvkd6luw 
2682,help us find what we missed in these #hhs #cybersecurity incidents. what do you see? http://fedtimes.ly/20zlons  
2683,did you miss what happened at the world’s largest info security event? see #rsac news: http://bit.ly/rsaconf2016 pic.twitter.com/84j3hohm9a
2684,we've teamed up w/  to host your visualizations using #hhs #cybersecurity data. tell us what you find: http://fedtimes.ly/20zlons 
2685,c4isr & networks editor rosenberg to step down http://fedtim.es/3c4b0q 
2686,c4isr & networks editor rosenberg to step down http://fedtim.es/3c4dd3 
2687,5 cybersecurity lessons from ancient battles http://fedtim.es/3c47wr 
2688,"how big data, info sharing make hackers' lives harder #rsac http://ow.ly/z4l9p pic.twitter.com/oieysvmnmz"
2689,dhs models canine program for congress http://fedtim.es/3c41cb 
2690,4 lessons from  on automating #cybersecurity #rsac http://ow.ly/z4isr pic.twitter.com/xki716wfyo
2691,check on fedtimes later today for more on all five #cybersecurity lessons from the ancient world #rsac
2692,lesson 5 from rome v carthage: fight fire with fire #rsac
2693,". transitions from “alexander the great to alexander the geek,” referencing fmr  dir gen alexander #rsac"
2694,lesson 4 from alexander himself: lead from the front #rsac
2695,lesson 3 from phillip ii (alex the great’s dad): know thy enemy #rsac
2696,what's the worst thing that will happen if apple loses to the fbi? http://fedtim.es/3c3tok 
2697,lesson 2 from thebes: battles and #cybersecurity are games of wit -- be original. #rsac
2698,"lesson 1 from the greeks at salamis: you know your terrain (systems) better -- set traps, challenge the attacker. #rsac"
2699,"i’ve been waiting for this #rsac session all week: #infosec lessons from generals of the ancient world, presented by ’s "
2700,suzanne spaulding on why  is at #rsac http://ow.ly/z4h2k pic.twitter.com/qt0mjabdhk
2701,suzanne spaulding on why dhs is at rsa http://fedtim.es/3c3mdd 
2702,the internet of things is opening a whole new set of complications #rsac http://ow.ly/z4l3t pic.twitter.com/l4glo8rqyp
2703,discussing serial: the complete series http://fedtim.es/3c3dzl 
2704,"it's the final day of the #rsac! big news happened this week, catch up with our coverage! http://bit.ly/rsaconf2016 pic.twitter.com/dzmhbdshir"
2705,transitioning to coco: how to avoid disaster http://fedtim.es/3c3wur 
2706,"dha chief talks tricare reforms, dhmsm progress http://owl.li/3c3f6g "
2707,it starts with info-sharing and progresses to how the #breach was detected and so on. http://fedtimes.ly/1p2oj2z  #rsacpic.twitter.com/fxqtovnpfy
2708,infographic: evolution of info sharing http://owl.li/3c26h3 
2709,mid-week brings attendees the nitty gritty of #cyberattacks & a fair amount of news #rsac http://ow.ly/z2d1l pic.twitter.com/m9z7ssqydy
2710,how the private sector will drive the future of health it http://owl.li/3c1lfc 
2711,"take a look at this vast collection of #cybersecurity data from , and let us know what you see: http://fedtimes.ly/20zlons "
2712,the #opmhack might not have been illegal.wait … what? http://fedtimes.ly/1ozzwpr  #rsacpic.twitter.com/qxcjc6iybw
2713,how will the private sector determine the future of interoperability http://owl.li/3c1wtg 
2714,. officials explain how #bigdata and info-sharing initiatives can make the life of a #hacker difficult: http://fedtimes.ly/1p21nwn 
2715,discussing serial: trade secrets and behind the scenes of bergdahl's release http://owl.li/3c1pxh 
2716,leaders are talking about security right now at #rsac. don't miss what they're saying http://bit.ly/rsaconf2016 pic.twitter.com/a0ch4lc4tf
2717,how the iphone helped inspire dhmsm's design http://owl.li/3c1iyb 
2718,phantom cyber’s oliver fredrichs says #opensource will help interoperability but #standards are better #rsac
2719,video: what is government getting right in #cybersecurity? http://fedtimes.ly/1ozekfj  #rsac
2720,. tells #rsac crowd the goal is automation. “orchestration is just the means to get there”
2721,quade says  officials refer to advanced nation-state #malware as “milware” #rsac
2722,philip quade of  says #encryption and #privacy are “two sides of the same coin” #rsac
2723,". cyber task force deputy director renee tarun leading the session, says it’s great to see  on the same panel"
2724,"aaron boyd here at #rsac, getting ready to hear from , , industry experts on how to build an effective #cybersecurity program"
2725,"how big data, info sharing make hackers' lives harder http://owl.li/3c18bl "
2726,catch up on what's happening at #rsac! http://bit.ly/rsaconf2016 pic.twitter.com/1rnn0ki7hs
2727,"#apple and the #fbi may be publicly fighting over #backdoors, but #secdef carter isn’t for them. http://fedtimes.ly/1oq6g4k  #rsac"
2728,“we have lots of avenues for you to connect with us and we’re trying to create more every day.” — #secdefhttp://fedtimes.ly/1oqbsyo  #rsac
2729,#cybersecurity is the word on the lips of many in government right now and we've reserved your front row seat: http://fedtimes.ly/1ok58ze  #rsac
2730,a gender gap survey found in the field of health care it that men made on average $124k to women’s $101k. http://fedtimes.ly/1ooiqks  #himsss16
2731,. &  want policies that provide free flow of #healthrecords across #it systems. http://fedtimes.ly/1oyfyal  #himsss16
2732,. wants the private sector to open up the nation's #health #it systems. http://fedtimes.ly/1oolb8o  #himsss16
2733,.: “it will take a whole host of solution sets to get” health care to where it needs to be. #himss2016
2734,#icymi: our own aaron boyd  discussed the embattled role of the cio with . http://bit.ly/1qqhsjh 
2735,defense secretary carter pushes defense innovation on west coast trip http://owl.li/3bzbkc 
2736,explaining cyber to execs: use fire #rsac http://ow.ly/yypdl pic.twitter.com/lmgwvnnfku
2737,what is government getting right in cybersecurity? http://owl.li/3bz4lg 
2738,#rsac 2016 is happening now! stay on top of what's going on with our show coverage http://bit.ly/rsaconf2016 pic.twitter.com/0vk4f4p7ip
2739,what the cybersecurity national action plan gets right http://owl.li/3byxkd 
2740,". innovation and acquisition has to be faster, carter says. “lives and victory are at stake” #rsac"
2741,carter says  #cyberattacks are “very effective tool for shutting down #isil” #rsac
2742,secdef carter tells #rsac he’s “not a believer in back doors or a single technical approach” in general #encryption #goingdark #applevsfbi
2743,pentagon’s new #bugbounty program is “example of using best practices” secdef carter tells #rsac
